1905,700.95
1910,721.3
1915,795.36
1920,884.51
1925,924.79
1930,953.92
1935,1017.97
1940,1110.06
1945,1141.48
1950,1226.58
1955,1424.77
1960,1751.86
1965,2094.53
1970,2362.06
1975,2638.24
1980,3073.44
1985,3128.75
1990,3321.36
1995,3420.21
2000,3785.95
2005,3827.44
2010,3871.89
