Argentina,134980,141908,136812,148213,178389,155637,200074,250034,166122
Australia,35068,32969,26703,16107,18282,20532,17424,15317,37620
Bangladesh,3,3,1,1,4,6,6,6,15
Botswana,29,15,62,40,42,47,13,2,19
